,country,date,search_rate
971,FR,Dec 2021,60
972,FR,Jan 2022,62
973,FR,Feb 2022,49
974,FR,Mar 2022,49
975,FR,Apr 2022,49
976,FR,May 2022,48
977,FR,Jun 2022,58
978,FR,Jul 2022,58
979,FR,Aug 2022,62
980,FR,Sep 2022,64
981,FR,Oct 2022,63
982,FR,Nov 2022,57
983,FR,Dec 2022,67
984,FR,Jan 2023,87
985,FR,Feb 2023,87
986,FR,Mar 2023,86
987,FR,Apr 2023,91
988,FR,May 2023,74
989,FR,Jun 2023,64
990,FR,Jul 2023,68
991,FR,Aug 2023,80
992,FR,Sep 2023,76
993,FR,Oct 2023,71
994,FR,Nov 2023,69
995,FR,Dec 2023,73
996,FR,Jan 2024,70
997,FR,Feb 2024,63
998,FR,Mar 2024,63
999,FR,Apr 2024,71
1000,FR,May 2024,59
1001,FR,Jun 2024,56
1002,FR,Jul 2024,47
1003,FR,Aug 2024,59
1004,FR,Sep 2024,68
1005,FR,Oct 2024,85
1006,FR,Nov 2024,89
1007,FR,Dec 2024,100
1008,GB,Jan 2004,55
1009,GB,Feb 2004,51
1010,GB,Mar 2004,50
1011,GB,Apr 2004,45
1012,GB,May 2004,47
1013,GB,Jun 2004,44
1014,GB,Jul 2004,48
1015,GB,Aug 2004,49
1016,GB,Sep 2004,44
1017,GB,Oct 2004,54
1018,GB,Nov 2004,49
1019,GB,Dec 2004,57
1020,GB,Jan 2005,46
1021,GB,Feb 2005,44
1022,GB,Mar 2005,44
1023,GB,Apr 2005,36
